,Unnamed: 0,mz,intensity,rel.intensity,theo.mass,delta,rdb.equiv,comp,add.info,sample,rep,carbons,hydrogens,oxygens,nitrogens,phosphates,carbon_isotope,fullsample,sample_loc_row,slope,yint,error,correctedmz,em,mf,unsat,chemcalc_error,ppm,info
3416,3417,780.5531,61497.6,3.61,780.5529,0.11,7.5,C42 [13]C3 H78 O8 P ,,ko6,2,42,78,8,0,1,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,780.5535,779.546505,C44H78NO8P,7.0,0.000268,0.3439,NPO8C44H78
3417,3418,780.5897,16543.5,0.97,780.5899,-0.18,10.0,C49 H80 O7 ,,ko6,2,49,80,7,0,0,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,780.5901,779.582891,C45H82NO7P,6.0,0.000054,0.0688,NPO7C45H82
3418,3419,780.6199,6772.8,0.4,780.62,-0.05,14.5,C51 [13]C2 H80 O3 N ,,ko6,2,51,80,3,1,0,2,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,780.6203,779.613584,C37[13C]6H84NO8P,3.0,0.000547,0.702,NPO8[13C]6C37H84
3419,3420,780.7067,11812.5,0.69,780.7067,-0.07,3.5,C46 [13]C3 H93 O6 ,,ko6,2,46,93,6,0,0,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,780.7071,779.698544,C34[13C]8H94NO8P,-3.0,-0.001293,-1.6579,NPO8[13C]8C34H94
3420,3421,781.5562,31019.0,1.82,781.5563,-0.06,7.5,C41 [13]C4 H78 O8 P ,,ko6,2,41,78,8,0,1,4,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,781.5566,780.54986,C43[13C]H78NO8P,7.0,0.000523,0.67,NPO8[13C]C43H78
3421,3422,781.5934,7693.5,0.45,781.5935,-0.1,5.5,C44 [13]C H83 O7 N P ,,ko6,2,44,83,7,1,1,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,781.5938,780.586245,C44[13C]H82NO7P,6.0,-0.000292,-0.3735,NPO7[13C]C44H82
3422,3423,781.7033,6628.0,0.39,781.7027,0.57,2.5,C47 [13]C H95 O4 N P ,,ko6,2,47,95,4,1,1,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,781.7037,780.697429,C32[13C]10H93NO8P,-2.5,0.000992,1.2706,NPO8[13C]10C32H93
3423,3424,781.709,6732.4,0.4,781.7096,-0.52,0.0,C39 [13]C7 H95 O6 P ,,ko6,2,39,95,6,0,1,7,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,781.7094,780.701899,C33[13C]9H94NO8P,-3.0,-0.000238,-0.3047,NPO8[13C]9C33H94
3424,3425,782.5685,207754.6,12.2,782.5686,-0.13,6.5,C42 [13]C3 H80 O8 P ,,ko6,2,42,80,8,0,1,3,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,782.5689,781.562155,C44H80NO8P,6.0,0.000518,0.663,NPO8C44H80
3425,3426,782.6055,4918.8,0.29,782.6055,0.01,9.0,C49 H82 O7 ,,ko6,2,49,82,7,0,0,0,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,782.6059,781.598541,C45H84NO7P,5.0,-0.000096,-0.1233,NPO7C45H84
3426,3427,782.7139,6574.2,0.39,782.7138,0.11,-1.0,C40 [13]C5 H96 O6 N P ,,ko6,2,40,96,6,1,1,5,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,782.7143,781.705254,C32[13C]10H94NO8P,-3.0,-0.001783,-2.2809,NPO8[13C]10C32H94
3427,3428,783.5641,100772.0,5.92,783.5642,-0.11,10.0,C47 [13]C H79 O6 P ,,ko6,2,47,79,6,0,1,1,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,783.5645,782.557194,C34[13C]11H74NO7P,10.0,-0.000043,-0.0555,NPO7[13C]11C34H74
3428,3429,783.5708,97937.1,5.75,783.5707,0.15,15.0,C49 [13]C2 H75 O5 N ,,ko6,2,49,75,5,1,0,2,ko6_2,4,3.72826728032818e-22,0.0004000000000132,0.0004000000000132,783.5712,782.56551,C43[13C]H80NO8P,6.0,0.001573,2.0101,NPO8[13C]C43H80
