mz,intensity,rel.intensity,theo.mass,delta,rdb,comp,sample
680.5762,2199275.5,1.04,680.5752,0.97,3.5,C41 H79 O4 N P ,sc_nuc_1
681.0368,273593.7,0.13,681.1379,-101.07,19.5,C33 H30 O14 P ,sc_nuc_1
681.3995,965627.9,0.46,681.3984,1.05,3.5,C33 H62 O12 P ,sc_nuc_1
681.5794,1081966,0.51,681.5827,-3.32,7.5,C45 H77 O4 ,sc_nuc_1
681.616,369248,0.17,681.6191,-3.16,6.5,C46 H81 O3 ,sc_nuc_1
682.4024,251716.4,0.12,682.4028,-0.34,21,C47 H54 O4 ,sc_nuc_1
682.5732,691447.9,0.33,682.5753,-2.06,3,C41 H78 O7 ,sc_nuc_1
682.5919,6519549.5,3.09,682.5909,1.04,2.5,C41 H81 O4 N P ,sc_nuc_1
683.0326,192386.7,0.09,683.1409,-108.31,19,C32 H30 O14 N P ,sc_nuc_1
683.5764,242003.2,0.11,683.5749,1.47,2.5,C41 H80 O5 P ,sc_nuc_1
683.5951,2874896.5,1.36,683.5984,-3.24,6.5,C45 H79 O4 ,sc_nuc_1
684.4562,251662.5,0.12,684.4551,1.09,14.5,C44 H63 O3 N P ,sc_nuc_1
684.5889,1788360.5,0.85,684.591,-2.05,2,C41 H80 O7 ,sc_nuc_1
684.5987,637489.5,0.3,684.5936,5.04,6.5,C44 H78 O4 N ,sc_nuc_1
684.6075,3644801.8,1.73,684.6065,0.94,1.5,C41 H83 O4 N P ,sc_nuc_1
684.9577,329498.6,0.16,,,,,sc_nuc_1
685.0484,468083.1,0.22,685.148,-99.62,22.5,C36 H30 O12 P ,sc_nuc_1
685.4642,515756.1,0.24,685.4629,1.26,14,C44 H64 O3 N P ,sc_nuc_1
685.5922,843069.8,0.4,685.5905,1.64,1.5,C41 H82 O5 P ,sc_nuc_1
685.6108,1482215,0.7,685.614,-3.25,5.5,C45 H81 O4 ,sc_nuc_1
685.9655,384296.8,0.18,,,,,sc_nuc_1
